# As in "Rethinking Foundation Models for Medical Image Classification through a Benchmark Study on MedMNIST" paper
model,dataset,training,acc_mean,acc_var
SAM-C ViT-B/16,OrganAMNIST,L,93.58,0.05
SAM ViT-B/16,OrganAMNIST,L,68.69,0.07
EVA-02 ViT-B/14,OrganAMNIST,L,91.51,0.03
OpenAI ViT-B/16,OrganAMNIST,L,88.40,0.07
DINO ViT-B/16,OrganAMNIST,L,94.68,0.06
DINOv2 ViT-B/14,OrganAMNIST,L,91.99,0.11

VGG16,OrganCMNIST,F,93.41,1.38
DenseNet-121,OrganCMNIST,F,95.42,0.09
ResNet-18,OrganCMNIST,F,94.90,0.71
EfficientNet-B4,OrganCMNIST,F,95.37,0.26
ViT-B/16,OrganCMNIST,F,95.89,0.43
CLIP ViT-B/16,OrganCMNIST,F,96.09,0.08
SAM-C ViT-B/16,OrganCMNIST,F,96.15,0.08
SAM ViT-B/16,OrganCMNIST,F,94.69,0.09
EVA-02 ViT-B/14,OrganCMNIST,F,95.67,0.25
OpenAI ViT-B/16,OrganCMNIST,F,95.78,0.29
DINO ViT-B/16,OrganCMNIST,F,95.10,0.14
DINOv2 ViT-B/14,OrganCMNIST,F,96.16,0.20

VGG16,OrganCMNIST,L,85.83,0.09
DenseNet-121,OrganCMNIST,L,86.45,0.02
ResNet-18,OrganCMNIST,L,82.57,0.22
EfficientNet-B4,OrganCMNIST,L,82.26,0.06
ViT-B/16,OrganCMNIST,L,88.42,0.05
CLIP ViT-B/16,OrganCMNIST,L,85.14,0.12
SAM-C ViT-B/16,OrganCMNIST,L,89.67,0.07
SAM ViT-B/16,OrganCMNIST,L,68.29,0.07
EVA-02 ViT-B/14,OrganCMNIST,L,86.90,0.26
OpenAI ViT-B/16,OrganCMNIST,L,82.66,0.03
DINO ViT-B/16,OrganCMNIST,L,91.63,0.21
DINOv2 ViT-B/14,OrganCMNIST,L,87.03,0.15

VGG16,OrganSMNIST,F,81.86,0.74
DenseNet-121,OrganSMNIST,F,85.28,0.27
ResNet-18,OrganSMNIST,F,84.81,0.28
EfficientNet-B4,OrganSMNIST,F,84.32,0.65
ViT-B/16,OrganSMNIST,F,85.42,0.58
CLIP ViT-B/16,OrganSMNIST,F,85.65,0.13
SAM-C ViT-B/16,OrganSMNIST,F,84.69,0.20
SAM ViT-B/16,OrganSMNIST,F,82.41,0.10
EVA-02 ViT-B/14,OrganSMNIST,F,85.25,0.40
OpenAI ViT-B/16,OrganSMNIST,F,84.71,0.53
DINO ViT-B/16,OrganSMNIST,F,83.15,0.56
DINOv2 ViT-B/14,OrganSMNIST,F,84.46,0.82

VGG16,OrganSMNIST,L,73.07,0.08
DenseNet-121,OrganSMNIST,L,74.86,0.20
ResNet-18,OrganSMNIST,L,69.79,0.16
EfficientNet-B4,OrganSMNIST,L,69.32,0.16
ViT-B/16,OrganSMNIST,L,77.66,0.12
CLIP ViT-B/16,OrganSMNIST,L,74.94,0.26
SAM-C ViT-B/16,OrganSMNIST,L,78.93,0.07
SAM ViT-B/16,OrganSMNIST,L,54.81,0.01
EVA-02 ViT-B/14,OrganSMNIST,L,77.32,0.16
OpenAI ViT-B/16,OrganSMNIST,L,74.19,0.38
DINO ViT-B/16,OrganSMNIST,L,79.42,0.07
DINOv2 ViT-B/14,OrganSMNIST,L,76.66,0.16

VGG16,PathMNIST,F,95.22,0.55
DenseNet-121,PathMNIST,F,95.06,1.00
ResNet-18,PathMNIST,F,94.40,1.41
EfficientNet-B4,PathMNIST,F,94.32,0.90
ViT-B/16,PathMNIST,F,96.69,0.52
CLIP ViT-B/16,PathMNIST,F,96.50,0.24
SAM-C ViT-B/16,PathMNIST,F,96.99,0.25
SAM ViT-B/16,PathMNIST,F,95.97,0.43
EVA-02 ViT-B/14,PathMNIST,F,96.80,0.43
OpenAI ViT-B/16,PathMNIST,F,95.68,0.72
DINO ViT-B/16,PathMNIST,F,96.97,0.33
DINOv2 ViT-B/14,PathMNIST,F,95.55,1.14

VGG16,PathMNIST,L,88.23,0.08
DenseNet-121,PathMNIST,L,93.30,0.22
ResNet-18,PathMNIST,L,90.58,0.34
EfficientNet-B4,PathMNIST,L,88.94,0.25
ViT-B/16,PathMNIST,L,93.68,0.17
CLIP ViT-B/16,PathMNIST,L,91.30,0.16
SAM-C ViT-B/16,PathMNIST,L,93.74,0.06
SAM ViT-B/16,PathMNIST,L,66.06,0.09
EVA-02 ViT-B/14,PathMNIST,L,93.53,0.07
OpenAI ViT-B/16,PathMNIST,L,93.27,0.05
DINO ViT-B/16,PathMNIST,L,96.20,0.09
DINOv2 ViT-B/14,PathMNIST,L,93.82,0.07

VGG16,RetinaMNIST,F,66.00,1.59
DenseNet-121,RetinaMNIST,F,65.17,2.82
ResNet-18,RetinaMNIST,F,62.33,1.05
EfficientNet-B4,RetinaMNIST,F,63.58,0.96
ViT-B/16,RetinaMNIST,F,63.17,0.51
CLIP ViT-B/16,RetinaMNIST,F,66.08,1.64
SAM-C ViT-B/16,RetinaMNIST,F,65.08,1.48
SAM ViT-B/16,RetinaMNIST,F,60.17,1.05
EVA-02 ViT-B/14,RetinaMNIST,F,64.92,0.66
OpenAI ViT-B/16,RetinaMNIST,F,68.67,0.72
DINO ViT-B/16,RetinaMNIST,F,63.75,1.62
DINOv2 ViT-B/14,RetinaMNIST,F,70.50,1.24

VGG16,RetinaMNIST,L,59.83,1.53
DenseNet-121,RetinaMNIST,L,62.83,0.62
ResNet-18,RetinaMNIST,L,61.08,0.62
EfficientNet-B4,RetinaMNIST,L,57.33,1.39
ViT-B/16,RetinaMNIST,L,59.92,0.77
CLIP ViT-B/16,RetinaMNIST,L,62.00,0.61
SAM-C ViT-B/16,RetinaMNIST,L,62.92,0.47
SAM ViT-B/16,RetinaMNIST,L,43.50,0.00
EVA-02 ViT-B/14,RetinaMNIST,L,66.00,0.20
OpenAI ViT-B/16,RetinaMNIST,L,62.75,0.54
DINO ViT-B/16,RetinaMNIST,L,63.25,1.67
DINOv2 ViT-B/14,RetinaMNIST,L,69.08,0.66

VGG16,TissueMNIST,F,71.08,0.46
DenseNet-121,TissueMNIST,F,73.84,0.34
ResNet-18,TissueMNIST,F,71.70,0.37
EfficientNet-B4,TissueMNIST,F,75.56,0.44
ViT-B/16,TissueMNIST,F,75.92,0.38
CLIP ViT-B/16,TissueMNIST,F,75.05,0.27
SAM-C ViT-B/16,TissueMNIST,F,74.92,0.15
SAM ViT-B/16,TissueMNIST,F,70.76,0.70
EVA-02 ViT-B/14,TissueMNIST,F,75.92,0.28
OpenAI ViT-B/16,TissueMNIST,F,74.96,0.21
DINO ViT-B/16,TissueMNIST,F,74.69,0.34
DINOv2 ViT-B/14,TissueMNIST,F,73.88,0.61

VGG16,TissueMNIST,L,57.21,0.04
DenseNet-121,TissueMNIST,L,55.96,0.04
ResNet-18,TissueMNIST,L,52.20,0.07
EfficientNet-B4,TissueMNIST,L,49.31,0.08
ViT-B/16,TissueMNIST,L,62.24,0.01
CLIP ViT-B/16,TissueMNIST,L,60.34,0.09
SAM-C ViT-B/16,TissueMNIST,L,59.32,0.03
SAM ViT-B/16,TissueMNIST,L,43.98,0.00
EVA-02 ViT-B/14,TissueMNIST,L,59.72,0.05
OpenAI ViT-B/16,TissueMNIST,L,57.94,0.04
DINO ViT-B/16,TissueMNIST,L,62.78,0.08
DINOv2 ViT-B/14,TissueMNIST,L,61.98,0.06
